CorrSciName,FRS Common Name,FRSCode,IDlevel,Habit,ALTname_survey,
Cottidae,Cottids unidentified,COU,Higher,DEMERSAL,,
Cottunculus microps,Polar sculpin,CMI,Species,DEMERSAL,,
Crystallogobius linearis,Crystal goby,CGO,Species,DEMERSAL,,
Ctenolabrus rupestris,Coldsinny wrasse,GOS,Species,DEMERSAL,,
Cyclopteridae,Lumpsucker unidentified,LUU,Higher,DEMERSAL,,
Cyclopterus lumpus,Lumpsucker,LUM,Species,DEMERSAL,,
Cynoglossus,Tongue sole unidentified,CYN,Higher,DEMERSAL,,
Cyttopsis rosea,Rosy dory,ROD,Species,PELAGIC,,
Dalatias licha,Kitefin shark,DCH,Species,DEMERSAL,,
Dasyatis pastinaca,Stingray,STR,Species,DEMERSAL,,
Deania calcea,Birdbeak dogfish,SHS,Species,DEMERSAL,,
Dicentrarchus,Bass unidentified,BAU,Higher,PELAGIC,,
Dicentrarchus labrax,Bass,BAS,Species,PELAGIC,,
Dicentrarchus punctatus,Spotted seabass,SBA,Species,DEMERSAL,,
Dicologlossa cuneata,Wedge sole,DIC,Species,DEMERSAL,,
Diplecogaster bimaculata,Two-spotted clingfish,TCL,Species,DEMERSAL,,
Diplodus sargus,White seabream,WSE,Species,DEMERSAL,,
Diplodus vulgaris,Common two-banded seabream,CTS,Species,PELAGIC,,
Dipturus batis,Skate,SKA,Species,DEMERSAL,,
Dipturus linteus,Sailray,SRY,Species,DEMERSAL,,
Dipturus nidarosiensis,Black skate,BSK,Species,DEMERSAL,,
Dipturus oxyrinchus,Longnosed skate,LNS,Species,DEMERSAL,,
Echiichthys vipera,Lesser weever,WEE,Species,DEMERSAL,,
Echiodon drummondii,Pearlfish,PEF,Species,DEMERSAL,,
Enchelyopus cimbrius,Four-bearded rockling,FOR,Species,DEMERSAL,,
Engraulis encrasicolus,Anchovy,ANC,Species,PELAGIC,,
Entelurus aequoreus,Snake pipefish,SPI,Species,DEMERSAL,,
Epigonus telescopus,Bullseye,BUL,Species,DEMERSAL,,
Etmopterus spinax,Velvet belly,VBE,Species,DEMERSAL,,
Eutrigla gurnardus,Grey gurnard,GGU,Species,DEMERSAL,,
Gadiculus argenteus,Silvery pout,SPO,Species,PELAGIC,,
Gadidae,Codfishes unidentified,CFU,Higher,DEMERSAL,Phycidae,in LW
Gadus morhua,Cod,COD,Species,DEMERSAL,,
Gaidropsarus,Rockling unidentified,ROU,Higher,DEMERSAL,,
Gaidropsarus argentatus,Arctic rockling,ARR,Species,DEMERSAL,,
Gaidropsarus biscayensis,Mediterranean bigeye rockling,MBR,Species,DEMERSAL,,
Gaidropsarus macrophthalmus,Bigeye rockling,BIR,Species,DEMERSAL,,
Gaidropsarus mediterraneus,Shore rockling,SHR,Species,DEMERSAL,,
Gaidropsarus vulgaris,Three-bearded rockling,TBR,Species,DEMERSAL,,
Galeorhinus galeus,Tope,TOP,Species,DEMERSAL,,
Galeus melastomus,Black mouthed dogfish,BMD,Species,DEMERSAL,,
