Functional.group,ScientificName_WoRMS,IBTS.species,Code,Common.name,ICES.Statlant.name,ITIS_TSN,WoRMS_AphiaID,Max.L..cm.,a,b,N,Min.L..cm.,Life.span..years.,TL,DEMPEL,TL_Ecopath,max len demersal,max len,LSI demersal,LSI_eco,Trophic_guild,Habitat_1,Piscivore,Bentho-piscivore,Benthivore,Planktivore
Small demersal fish,Hyperoplus,Hyperoplus,,Small demersal fish,,171681,125911,NA,0.00635,3.116,NA,NA,NA,4.19,DEM,4.196237529,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Small demersal fish,Myoxocephalus,Myoxocephalus,,Small demersal fish,,167311,126152,NA,0.00635,3.116,NA,NA,NA,4.19,DEM,4.196237529,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Small demersal fish,Scorpaenidae,Scorpaenidae,,Small demersal fish,,166704,125595,NA,0.00635,3.116,NA,NA,NA,4.19,DEM,4.196237529,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Small demersal fish,Hyperoplus lanceolatus,Hyperoplus lanceolatus,,Small demersal fish,,171682,126756,29.8,0.00635,3.116,NA,NA,NA,4.19,DEM,4.196237529,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Small demersal fish,Arnoglossus thori,Arnoglossus thori,,Small demersal fish,,172809,127128,NA,0.00635,3.116,NA,NA,NA,4.19,DEM,4.196237529,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Painted ray,Raja microocellata,Raja microocellata,PTR,SMALL EYED RAY,Painted ray,160882,105885,87,0.0049,3.117,97,15,13.7,4.47,DEM,4.467841412,66,66,0,0,Piscivore,Demersal,1,0,0,0
Dab,Limanda limanda,Limanda limanda,DAB,DAB,Common dab,172881,127139,40,0.0071,3.119,"1,174",0.9,4.4,4.2,DEM,4.015771059,40,40,0,0,Benthivore,Demersal,0,0,1,0
Cuckoo ray,Leucoraja naevus,Leucoraja naevus,,Cuckoo ray,,564143,105876,70,0.0056,3.121,19,10.6,13.7,3.88,DEM,4.439736,92,92,1,1,Piscivore,Demersal,1,0,0,0
Starry Ray,Amblyraja radiata,Amblyraja radiata,SYR,Starry Ray,,564149,105865,90,0.0056,3.121,19,10.6,13.7,4.47,DEM,4.467841412,66,66,0,0,Piscivore,Demersal,1,0,0,0
Small demersal fish,Myoxocephalus scorpius,Myoxocephalus scorpius,BRT,BULLROUT,,167318,127203,60,0.0126,3.1235,311,12,NA,4.19,DEM,4.196237529,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Small demersal fish,Scorpaena scrofa,Scorpaena scrofa,,Small demersal fish,,166839,127248,42.8,0.0121,3.124,22,14.3,NA,4.19,DEM,4.196237529,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
