ValidAphiaID,valid_name,valid_authority,kingdom,phylum,CLASS,order,family,genus,rank,FRS_Common Name,LmaxFB,Lmin,LWRa,LWRb,LWRSource
126489,Halargyreus johnsonii,"Günther, 1862",Animalia,Chordata,Actinopteri,Gadiformes,Moridae,Halargyreus,Species,Slender codling,56,2.35,0.0038,3.12,FB_Baysian_(Sub)family-body shape
126374,Halobatrachus didactylus,"(Bloch & Schneider, 1801)",Animalia,Chordata,Actinopteri,Batrachoidiformes,Batrachoididae,Halobatrachus,Species,Lusitanian toadfish,50,2.2,0.0166,3.03,FishBase
127251,Helicolenus dactylopterus,"(Delaroche, 1809)",Animalia,Chordata,Actinopteri,Scorpaeniformes,Sebastidae,Helicolenus,Species,Bluemouth,47,2.1,0.0123,3.1,FishBase
105832,Heptranchias perlo,"(Bonnaterre, 1788)",Animalia,Chordata,Elasmobranchii,Hexanchiformes,Hexanchidae,Heptranchias,Species,Sharpnose sevengill shark,140,25.5,0.00389,3.12,FB_Baysian_Body shape
105833,Hexanchus griseus,"(Bonnaterre, 1788)",Animalia,Chordata,Elasmobranchii,Hexanchiformes,Hexanchidae,Hexanchus,Species,Bluntnose sixgill shark,482,63.75,0,3.6786,Scottish
154776,Hippocampus guttulatus,"Cuvier, 1829",Animalia,Chordata,Actinopteri,Syngnathiformes,Syngnathidae,Hippocampus,Species,Long-snouted seahorse,21.5,2.36,0.0032,2.9,FishBase
127380,Hippocampus hippocampus,"(Linnaeus, 1758)",Animalia,Chordata,Actinopteri,Syngnathiformes,Syngnathidae,Hippocampus,Species,Short-snouted seahorse,15,2.19,0.0023,3,FishBase
127137,Hippoglossoides platessoides,"(Fabricius, 1780)",Animalia,Chordata,Actinopteri,Pleuronectiformes,Pleuronectidae,Hippoglossoides,Species,Long rough dab,45,3,0.0044,3.2,FishBase
127138,Hippoglossus hippoglossus,"(Linnaeus, 1758)",Animalia,Chordata,Actinopteri,Pleuronectiformes,Pleuronectidae,Hippoglossus,Species,Halibut,470,3.5,0.0052,3.1655,MS-S
126402,Hoplostethus atlanticus,"Collett, 1889",Animalia,Chordata,Actinopteri,Beryciformes,Trachichthyidae,Hoplostethus,Species,Orange roughy,75,2.22,0.0603,2.82,FishBase
126403,Hoplostethus cadenati,"Quéro, 1974",Animalia,Chordata,Actinopteri,Beryciformes,Trachichthyidae,Hoplostethus,Species,Black slimehead,30,1.95,0.0166,3.05,FB_Baysian_(Sub)family-body shape
159409,Hoplostethus mediterraneus mediterraneus,"Cuvier, 1829",Animalia,Chordata,Actinopteri,Beryciformes,Trachichthyidae,Hoplostethus,Species,Mediterranean slimehead,42,2.06,0.0153,3.0712,FishBase
126994,Howella brodiei,"Ogilby, 1899",Animalia,Chordata,Actinopteri,Perciformes,Howellidae,Howella,Species,Pelagic basslet,7.6,1.52,0.01122,3.04,FB_Baysian_Body shape
126995,Howella sherborni,"(Norman, 1930)",Animalia,Chordata,Actinopteri,Perciformes,Howellidae,Howella,Species,Sherborn's pelagic basslet,8,0,0.01122,3.04,FB_Baysian_body shape
105826,Hydrolagus mirabilis,"(Collett, 1904)",Animalia,Chordata,Holocephali,Chimaeriformes,Chimaeridae,Hydrolagus,Species,Large-eyed rabbitfish,52.48,18,0.00309,3.11,FB_Baysian_(Sub)family-body shape
